bank,balance_min_period_end_date,balance_max_period_end_date,balance_n_quarters,income_min_period_end_date,income_max_period_end_date,income_n_quarters
bankofamerica,2010-12-31,2025-09-30,60,2011-12-31,2025-12-31,57
citigroup,2010-12-31,2025-09-30,60,2011-12-31,2025-12-31,57
fifththird,2010-12-31,2025-09-30,60,2010-12-31,2025-09-30,60
goldmansachs,2010-12-31,2025-09-30,60,2011-12-31,2025-12-31,57
jpmorgan,2011-12-31,2025-12-31,57,2011-12-31,2025-12-31,57
keycorp,2010-12-31,2025-09-30,60,2010-12-31,2025-09-30,60
morganstanley,2010-12-31,2025-09-30,60,2011-12-31,2025-12-31,57
pnc,2010-12-31,2025-09-30,60,2011-12-31,2025-12-31,57
regionsfinancial,2010-12-31,2025-09-30,60,2011-12-31,2025-12-31,57
usbancorp,2010-12-31,2025-09-30,60,2010-12-31,2025-09-30,60
wellsfargo,2010-12-31,2025-09-30,60,2011-12-31,2025-12-31,57
